pair	cond	env	num_windows	alpha_p1	alpha_p2
1	0	Living	3	1.02465286	1.082581494
1	0	Living	4	0.905284296	1.010845685
1	0	Living	5	0.818983354	0.755239346
1	0	Living	6	0.976505359	0.868552321
1	0	Living	7	0.803103006	0.952317299
1	0	Living	8	0.860490714	0.937563928
2	0	Library	0	1.190089857	1.308755293
2	0	Library	1	1.065425499	0.878539955
2	0	Library	2	1.132891567	0.896872439
2	0	Library	3	1.120006287	0.795240422
2	0	Library	4	1.109973221	0.897219217
2	0	Library	5	1.167512751	1.007859087
2	0	Library	6	1.156826372	1.243233321
2	0	Library	7	1.081036676	1.154868703
2	0	Library	8	1.146836091	0.963115098
2	0	MusicParty	0	1.32284841	1.240164889
2	0	MusicParty	1	1.185475615	1.223256736
2	0	MusicParty	2	1.211874157	1.382915334
2	0	MusicParty	3	1.209044324	1.363576073
2	0	MusicParty	4	1.265425409	1.080489035
2	0	MusicParty	5	1.266189321	1.170185626
2	0	MusicParty	6	1.140311635	1.211115184
2	0	MusicParty	7	0.939631543	1.193519762
2	0	MusicParty	8	1.05446173	1.200719807
2	0	FoodCourt	0	1.167395725	1.352095597
2	0	FoodCourt	1	1.261643785	1.281923332
2	0	FoodCourt	2	1.215597289	1.144917953
2	0	FoodCourt	3	1.088140081	1.114474802
2	0	FoodCourt	4	1.133225213	1.00814625
2	0	FoodCourt	5	1.248082837	1.101816557
2	0	FoodCourt	6	1.335013697	1.190320604
2	0	FoodCourt	7	1.256033369	1.157978884
2	0	FoodCourt	8	1.175217345	1.114036473
2	0	Train	0	1.174460579	1.124986621
2	0	Train	1	1.177893189	1.168357511
2	0	Train	2	1.108775011	1.173050085
2	0	Train	3	1.198147934	1.224897032
2	0	Train	4	1.160174533	1.324352211
2	0	Train	5	0.992106309	1.203928937
2	0	Train	6	1.024540596	1.087200855
2	0	Train	7	0.999929708	1.178481049
2	0	Train	8	1.24935094	1.185281342
2	0	Cafe	0	1.094137759	1.206258907
2	0	Cafe	1	1.066372004	1.06071359
2	0	Cafe	2	1.088473816	1.277736486
2	0	Cafe	3	1.181580468	1.323161451
2	0	Cafe	4	1.06302369	1.203528723
2	0	Cafe	5	1.136260596	1.207673079
2	0	Cafe	6	1.17874845	1.167324706
2	0	Cafe	7	1.247279253	1.201316763
